Country,Variable,Measure,Year,Value
Albania,Rail infrastructure investment,Constant Euro,2003,784517.30035546
Albania,Rail infrastructure investment,Constant Euro,2004,2061859.3313562
Albania,Rail infrastructure investment,Constant Euro,2005,2251776.683723
Albania,Rail infrastructure investment,Constant Euro,2006,1171261.5365194
Albania,Rail infrastructure investment,Constant Euro,2007,537948.93117803
Albania,Rail infrastructure investment,Constant Euro,2008,1245780.5220218
Albania,Rail infrastructure investment,Constant Euro,2009,88457.788545925
Albania,Rail infrastructure investment,Constant Euro,2010,301299.88191323
Albania,Rail infrastructure investment,Constant Euro,2011,891971.95665027
Albania,Rail infrastructure investment,Constant Euro,2012,465069.44258866
Albania,Rail infrastructure investment,Constant Euro,2013,669685.08375777
Albania,Rail infrastructure investment,Constant Euro,2014,696386.97172977
Albania,Rail infrastructure investment,Constant Euro,2015,549354.1956703
Albania,Rail infrastructure investment,Constant Euro,2016,0.0
Albania,Rail infrastructure investment,Constant Euro,2017,0.0
Albania,Rail infrastructure investment,Constant Euro,2018,274861.69325253
Albania,Rail infrastructure investment,Constant Euro,2019,936425.84224334
Albania,Rail infrastructure investment,Constant Euro,2020,1309079.5934223
Albania,Rail infrastructure investment,Constant Euro,2021,4622111.5654476
Albania,Road infrastructure investment,Constant Euro,2000,98974793.843933
Albania,Road infrastructure investment,Constant Euro,2001,89513471.545895
Albania,Road infrastructure investment,Constant Euro,2002,70739401.374223
Albania,Road infrastructure investment,Constant Euro,2003,67597892.746092
Albania,Road infrastructure investment,Constant Euro,2004,91168677.430955
Albania,Road infrastructure investment,Constant Euro,2005,65533665.754123
Albania,Road infrastructure investment,Constant Euro,2006,165101944.82428
Albania,Road infrastructure investment,Constant Euro,2007,234104914.73057
Albania,Road infrastructure investment,Constant Euro,2008,452461588.4124
Albania,Road infrastructure investment,Constant Euro,2009,474126375.12378
Albania,Road infrastructure investment,Constant Euro,2010,244773084.55526
Albania,Road infrastructure investment,Constant Euro,2011,215579386.1786
Albania,Road infrastructure investment,Constant Euro,2012,182692357.1269
Albania,Road infrastructure investment,Constant Euro,2013,236571656.52359
Albania,Road infrastructure investment,Constant Euro,2014,193631474.37653
Albania,Road infrastructure investment,Constant Euro,2015,179236200.83101
Albania,Road infrastructure investment,Constant Euro,2016,87624678.350434
Albania,Road infrastructure investment,Constant Euro,2017,151676624.29972
Albania,Road infrastructure investment,Constant Euro,2018,152551772.68181
Albania,Road infrastructure investment,Constant Euro,2019,152533255.27316
Albania,Road infrastructure investment,Constant Euro,2020,194595385.36845
Albania,Road infrastructure investment,Constant Euro,2021,224846037.04922
Albania,Inland waterway infrastucture investment,Constant Euro,2000,20667.110846509
Albania,Inland waterway infrastucture investment,Constant Euro,2001,25910.260234719
Albania,Inland waterway infrastucture investment,Constant Euro,2002,41469.926939983
Albania,Inland waterway infrastucture investment,Constant Euro,2003,40439.036100797
Albania,Inland waterway infrastucture investment,Constant Euro,2004,31359.077282984
Albania,Inland waterway infrastucture investment,Constant Euro,2005,77380.642052336
Albania,Inland waterway infrastucture investment,Constant Euro,2006,114829.56240387
Albania,Inland waterway infrastucture investment,Constant Euro,2007,119544.20692845
Albania,Inland waterway infrastucture investment,Constant Euro,2008,191658.5418495
Albania,Inland waterway infrastucture investment,Constant Euro,2009,243258.91850129
Albania,Inland waterway infrastucture investment,Constant Euro,2010,235160.88344447
Albania,Inland waterway infrastucture investment,Constant Euro,2011,58489.964370509
Albania,Inland waterway infrastucture investment,Constant Euro,2012,101733.94056627
Albania,Inland waterway infrastucture investment,Constant Euro,2013,28803.659516463
Albania,Inland waterway infrastucture investment,Constant Euro,2014,21537.741393704
Albania,Inland waterway infrastucture investment,Constant Euro,2015,20041.586291555
Albania,Inland waterway infrastucture investment,Constant Euro,2016,0.0
Albania,Inland waterway infrastucture investment,Constant Euro,2017,6397.1583424597
Albania,Inland waterway infrastucture investment,Constant Euro,2018,24023.901209733
Albania,Inland waterway infrastucture investment,Constant Euro,2019,0.0
Albania,Inland waterway infrastucture investment,Constant Euro,2020,0.0
Albania,Inland waterway infrastucture investment,Constant Euro,2021,0.0
Albania,Maritime port infrastructure investment,Constant Euro,2000,5242557.1180645
Albania,Maritime port infrastructure investment,Constant Euro,2001,6846786.2670244
Albania,Maritime port infrastructure investment,Constant Euro,2002,14356888.706622
Albania,Maritime port infrastructure investment,Constant Euro,2003,8395143.8945255
Albania,Maritime port infrastructure investment,Constant Euro,2004,7941686.3219157
Albania,Maritime port infrastructure investment,Constant Euro,2005,10307101.521371
Albania,Maritime port infrastructure investment,Constant Euro,2006,5641959.16611
Albania,Maritime port infrastructure investment,Constant Euro,2007,948882.14249459
Albania,Maritime port infrastructure investment,Constant Euro,2008,2845392.1982272
Albania,Maritime port infrastructure investment,Constant Euro,2009,2771677.374439
Albania,Maritime port infrastructure investment,Constant Euro,2010,3975688.6857331
Albania,Maritime port infrastructure investment,Constant Euro,2011,10184565.046015
Albania,Maritime port infrastructure investment,Constant Euro,2012,8901719.7995485
