Country,Variable,Measure,Year,Value
Belgium,Road infrastructure maintenance,Constant Euro,2005,97377346.200644
Belgium,Road infrastructure maintenance,Constant Euro,2004,96403435.012558
Belgium,Road infrastructure maintenance,Constant Euro,2003,93632315.260726
Belgium,Road infrastructure maintenance,Constant Euro,2002,87593751.382434
Belgium,Road infrastructure maintenance,Constant Euro,2001,81298898.363364
Belgium,Road infrastructure maintenance,Constant Euro,2000,78224669.29913
Belgium,Road infrastructure capital value,Constant Euro,2021,45489672977.625
Belgium,Road infrastructure capital value,Constant Euro,2019,41796477651.277
Belgium,Road infrastructure capital value,Constant Euro,2018,42683822085.488
Belgium,Road infrastructure maintenance,Constant Euro,2019,197039777.98335
Belgium,Rail infrastructure capital value,Constant Euro,2021,21295180722.892
Belgium,Road infrastructure maintenance,Constant Euro,2020,141037306.6424
Belgium,Total road spending,Constant Euro,2000,275775105.32575
Belgium,Total road spending,Constant Euro,2021,1556798623.0637
Belgium,Total road spending,Constant Euro,2020,693357597.8162
Belgium,Total road spending,Constant Euro,2019,876965772.43293
Belgium,Total road spending,Constant Euro,2018,850236966.82464
Belgium,Total road spending,Constant Euro,2017,1023034985.4227
Belgium,Total road spending,Constant Euro,2016,1316929133.8583
Belgium,Total road spending,Constant Euro,2015,1235000000.0
Belgium,Total road spending,Constant Euro,2014,633130081.30081
Belgium,Total road spending,Constant Euro,2013,754367934.22405
Belgium,Total road spending,Constant Euro,2012,718846549.94851
Belgium,Total road spending,Constant Euro,2011,423924449.10808
Belgium,Total road spending,Constant Euro,2010,580152671.75573
Belgium,Total road spending,Constant Euro,2009,311886586.69575
Belgium,Total road spending,Constant Euro,2008,278415430.26706
Belgium,Total road spending,Constant Euro,2007,288829222.39124
Belgium,Total road spending,Constant Euro,2006,316817599.73939
Belgium,Total road spending,Constant Euro,2005,287263171.2919
Belgium,Total road spending,Constant Euro,2004,291714290.36267
Belgium,Total road spending,Constant Euro,2003,330919689.55161
Belgium,Total road spending,Constant Euro,2002,309154416.64389
Belgium,Total road spending,Constant Euro,2001,274055963.83779
Belgium,Road infrastructure maintenance,Constant Euro,2021,428571428.57143
Belgium,Rail infrastructure capital value,Constant Euro,2020,21641492265.696
Belgium,Rail infrastructure capital value,Constant Euro,2019,21391304347.826
Belgium,Rail infrastructure capital value,Constant Euro,2018,21302369668.246
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2010,70883315.16
Belgium,Total inland transport infrastructure investment,Constant Euro,2002,1769909035.2862
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2008,93884273.0
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2007,84427003.47
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2006,77753769.9
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2005,80336310.62
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2004,76371552.41
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2003,78240701.79
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2002,65695313.54
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2001,66874900.27
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2000,63640408.92
Belgium,Road infrastructure maintenance,Constant Euro,2021,428571428.6
Belgium,Road infrastructure maintenance,Constant Euro,2020,141037306.6
Belgium,Road infrastructure maintenance,Constant Euro,2019,197039778.0
Belgium,Road infrastructure maintenance,Constant Euro,2018,204739336.5
Belgium,Total inland transport infrastructure investment,Constant Euro,2004,1608810571.3135
Belgium,Road infrastructure maintenance,Constant Euro,2016,519685039.4
Belgium,Road infrastructure maintenance,Constant Euro,2015,457000000.0
Belgium,Road infrastructure maintenance,Constant Euro,2014,209349593.5
Belgium,Road infrastructure maintenance,Constant Euro,2013,151079136.7
Belgium,Road infrastructure maintenance,Constant Euro,2012,149330587.0
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2011,60860440.71
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2012,73120494.34
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2013,67831449.13
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2014,27439024.39
Belgium,Rail infrastructure capital value,Constant Euro,2017,20975704567.541
Belgium,Rail infrastructure capital value,Constant Euro,2016,21195866141.732
Belgium,Rail infrastructure capital value,Constant Euro,2015,20599000000.0
Belgium,Rail infrastructure capital value,Constant Euro,2014,20662601626.016
Belgium,Rail infrastructure capital value,Constant Euro,2013,20233299075.026
Belgium,Maritime port infrastructure maintenance,Constant Euro,2009,147219193.0
Belgium,Maritime port infrastructure maintenance,Constant Euro,2008,140286844.7
Belgium,Maritime port infrastructure maintenance,Constant Euro,2007,144414611.2
Belgium,Maritime port infrastructure maintenance,Constant Euro,2006,150865523.7
Belgium,Maritime port infrastructure maintenance,Constant Euro,2005,158238187.6
